#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,UNIX systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,V7/x86,#FF8585,UNICS [AT&T/Bell Labs],1999,2007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,V7M [DEC],#FF8585,UNICS [AT&T/Bell Labs],1980.12,1995.11,,,Ultrix-11,1982.6,,Ultrix,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Wollongong Unix,#FF8585,UNICS [AT&T/Bell Labs],1977,1979.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Venix [VenturCom],#FF8585,UNICS [AT&T/Bell Labs],1982,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Xenix [Microsoft],#8B0000,UNICS [AT&T/Bell Labs],1980.8,,,,SCO XENIX,1984.2,,SCO UNIX,1989,,OpenServer (v1-v6),1995.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UNIX System III [AT&T],#8B0000,CB UNIX,1980,,,,UNIX System V,1983,,UnixWare,1992.11,,Open UNIX,2001.11,,SCO UnixWare,2002.12,,,,,,,,,,,,,,,,,,,,,,,,,
N,A/UX [Apple],#FF8585,UNIX System III [AT&T],1988.2,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AIX [IBM],#8B0000,UNIX System III [AT&T],1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Amiga Unix [Amiga],#FF8585,UNIX System III [AT&T],1990,1991.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Atari Unix [Atari],#FF8585,UNIX System III [AT&T],1989,1992.8,,,ASV,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,COSIX [CS&S],#FF8585,UNIX System III [AT&T],1989,1999.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CTIX [Convergent],#FF8585,UNIX System III [AT&T],1987,1989.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CXOs [Cray],#FF8585,UNIX System III [AT&T],1984,2003.5,,,Unicos,1986.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DC/OSx [Pyramid],#FF8585,UNIX System III [AT&T],1983.6,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Dell Unix [Dell],#FF8585,UNIX System III [AT&T],1989,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DG/UX [Data General],#FF8585,UNIX System III [AT&T],1985.3,2001.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Eurix/Generics Unix [Generics],#FF8585,UNIX System III [AT&T],1989,1991.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HI-UX [Hitachi],#FF8585,HP-UX [HP],1987,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HP-UX [HP],#FF8585,UNIX System III [AT&T],1982,2025.12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,IRIS GL2 [SGI],#FF8585,UNIX System III [AT&T],1983,1987.12,,,IRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,IRIX [SGI],#FF8585,IRIS GL2 [SGI],1987,2013.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Microport Unix,#FF8585,UNIX System III [AT&T],1985.9,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Monterey,#FF8585,AIX [IBM],1999.1,2001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MP-RAS Unix [NCR],#FF8585,UNIX System III [AT&T],1982,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NonStop-UX [HP],#FF8585,UNIX System III [AT&T],1987.4,2004.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RISC Unix [Acorn],#FF8585,UNIX System III [AT&T],1988,1988.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RISC/OS [MIPS],#FF8585,UNIX System III [AT&T],1985,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RX/V,#FF8585,UNIX System III [AT&T],1987,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SPIX [Bull Computers],#FF8585,UNIX System III [AT&T],1982,1989.12,,,BOS,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SPP-UX [Convex],#FF8585,HP-UX [HP],1994,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SUPER-UX [NEC],#FF8585,UNIX System III [AT&T],1989,2014.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Plexus System [Plexus],#FF8585,UNIX System III [AT&T],1981,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,TI System V [Texas Instruments],#FF8585,UNIX System III [AT&T],1986,1992.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Trusted IRIX/B [SGI],#FF8585,IRIX [SGI],1995.2,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unicos MAX [Cray],#FF8585,CXOs [Cray],1993.11,1995.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unicos/mk [Cray],#FF8585,CXOs [Cray],1996.11,2002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
